0.97 4.5 5.06 0.8
0.94 4.45 5.07 0.9
0.91 4.47 5.02 0.8
0.86 4.41 5.02 0.9
0.85 4.42 5.03 0.9
0.83 4.43 5.04 0.9
0.82 4.45 5.06 0.9
0.93 7.48 8.0 1.2
0.9 7.46 8.01 1.3
0.86 7.48 8.03 1.3
0.79 7.5 8.0 1.2
0.72 7.48 8.02 1.3
0.68 7.5 8.04 1.3
0.69 7.95 9.03 3.0
0.77 8.49 9.01 1.4
0.82 8.46 9.02 1.5
0.83 8.47 9.04 1.5
0.78 8.49 9.01 1.4
0.73 8.46 9.02 1.5
0.7 8.48 9.0 1.4
0.68 8.5 9.02 1.4
8.32 8.48 12.52 0.6
12.15 14.46 15.01 0.6
12.79 14.48 15.03 0.6
13.54 14.48 15.04 0.8
14.11 14.49 15.03 1.1
13.41 14.48 15.05 0.8
13.09 14.48 15.05 0.7
12.68 14.49 15.06 0.6
12.37 14.5 15.08 0.6
12.17 14.47 15.02 0.6
11.67 14.45 15.01 0.7
11.14 14.43 15.02 0.8
11.48 19.47 20.01 1.5
10.84 19.47 20.01 1.6
10.53 11.47 12.02 0.8
16.71 17.48 18.05 0.9
16.02 17.49 18.07 0.7
15.59 17.48 18.05 0.6
15.05 17.47 18.09 0.7
14.61 17.44 17.59 0.2
